LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1650380,1650380,145,79.29945373535156,912.6543919894758,130.7378699452928,0.0,34.0,34,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1651790,1651790,145,77.61860656738281,921.4552575985998,126.5600200380818,0.0,46.0,46,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.918111398008115,1.4517514497262503
ID1653633,1653633,145,81.70992279052734,919.7685253925468,133.02674020398476,0.0,52.0,52,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1651648,1651648,145,78.71299743652344,925.9578724920194,125.60287774845635,0.0,39.0,39,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9115890083632019,1.2782590730349843
ID1652352,1652352,145,78.82523345947266,919.5954942253471,125.80098527542307,0.0,40.0,40,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1650242,1650242,145,81.3437271118164,914.1132399677502,126.08154364075668,0.0,31.0,31,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9696347968814114,1.3195833069382559
ID1653063,1653063,145,81.70991516113281,917.6411566588542,142.8692672417626,0.0,56.0,56,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9719378081152824,1.4949132043585291
ID1650939,1650939,145,81.05049896240234,914.6957405879426,126.14206172327573,0.0,37.0,37,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9425019425019425,1.3815943786173366
ID1649277,1649277,145,82.07611846923828,918.0244353994224,122.28907014176447,0.0,24.0,24,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9719378081152824,1.4949132043585291
ID1652915,1652915,145,70.15907287597656,920.6715094977836,132.6240720360905,0.0,51.0,51,3.0,1,,124.05405405405405,0.0,0.0,255.0,4590.0,129.21148597593057,1.0,0.960085344712797
ID1651508,1651508,145,82.00314331054688,920.0000003562294,126.74567928260815,0.0,42.0,42,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,1.0,1.340245423889892
