LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),( ),( ),( ),(frame),,( ),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID72219,72219,2,43.407066345214844,120.0,558.0,0.0,82.0,82,4.5,1,,57604.742268041235,62385.0,25517.0,62622.0,5587660.0,9517.010964231311,0.12041938323552509,1.3010783459180324
ID71582,71582,2,50.49928665161133,103.88333591170802,558.6363935635164,0.0,65.0,65,4.5,1,,62412.08247422681,62414.0,62174.0,62595.0,6053972.0,85.79805141812818,5.121805555143527E-4,0.7447696172924071
ID71968,71968,2,54.946144104003906,113.94531395487562,563.1081040403635,0.0,75.0,75,4.5,1,,62421.97938144331,62427.0,62161.0,62657.0,6054932.0,96.37124175350965,0.004088294680668121,5.274610125884767
ID71459,71459,2,55.72199630737305,96.65412316378628,556.6198623889205,0.0,62.0,62,4.5,1,,62433.61855670101,62437.0,62215.0,62656.0,6056061.0,103.41184281983953,6.993718262592902E-4,0.8438839574166009
ID70306,70306,2,63.230690002441406,103.45633742861817,589.7250537766772,0.0,28.0,28,4.5,1,,62459.93814432988,62443.0,62228.0,62778.0,6058614.0,115.42618622892266,8.536646152263855E-4,0.9230896795085909
ID72484,72484,2,47.9521484375,120.0,549.0,0.0,92.0,92,4.5,1,,57603.56701030931,62368.0,25514.0,62704.0,5587546.0,9519.99551372795,0.12041985956965733,1.3006485091292879
ID70567,70567,2,46.51057815551758,107.67557509396579,575.9974461844549,0.0,37.0,37,4.5,1,,62392.86597938144,62387.0,62193.0,62573.0,6052108.0,86.54750969674345,3.4567808601018057E-4,0.49823255717968035
ID72103,72103,2,48.73569869995117,114.0396655888202,556.835062783908,0.0,81.0,81,4.5,1,,62405.98969072167,62404.0,62147.0,62589.0,6053381.0,88.83698728164045,0.0039353554448337,5.507324468889345
ID70057,70057,2,49.09333038330078,89.8078526648996,602.8981467427437,0.0,20.0,20,4.5,1,,62406.391752577314,62421.0,62131.0,62643.0,6053420.0,93.38334486372905,5.04451207401103E-4,0.6738911977034749
ID70697,70697,2,54.365692138671875,110.51354864347329,560.4716083893317,0.0,41.0,41,4.5,1,,62426.63917525773,62420.0,62157.0,62707.0,6055384.0,99.01317100591234,6.541545213969534E-4,0.824334213916096
ID72361,72361,2,52.29081344604492,113.6388456059393,549.036301891942,0.0,87.0,87,4.5,1,,62402.701030927834,62402.0,62177.0,62649.0,6053062.0,97.20148371514769,0.0040036274425342385,5.1201049730585755
ID71208,71208,2,62.30924606323242,97.78945982378012,557.7543736220291,0.0,55.0,55,4.5,1,,62436.845360824744,62438.0,62163.0,62690.0,6056374.0,120.65993364671168,7.534370359565787E-4,0.7791619571976426
ID70827,70827,2,56.023475646972656,113.2489674279935,554.425084002882,0.0,43.0,43,4.5,1,,62418.25773195874,62419.0,62133.0,62654.0,6054571.0,102.00033479831856,0.0013916982428523088,1.7009092100027259
ID70186,70186,2,49.54888153076172,92.47770308881302,592.480128881384,0.0,24.0,24,4.5,1,,62409.319587628874,62409.0,62138.0,62603.0,6053704.0,95.53920948923627,4.767444813659697E-4,0.6225532092321822
ID70445,70445,2,55.64201736450195,102.99003041431841,579.7018631924411,0.0,33.0,33,4.5,1,,62400.0618556701,62390.0,62177.0,62692.0,6052806.0,110.28266848128922,4.5342504918645713E-4,0.5128807313879739
ID69676,69676,2,50.03340530395508,89.33770962355085,619.7604067469862,0.0,10.0,10,4.5,1,,62421.65979381443,62428.0,62251.0,62591.0,6054901.0,82.86018427119893,5.635324678943143E-4,0.8485817475150993
ID71729,71729,2,51.5477180480957,107.6823508950743,563.3628161874194,0.0,69.0,69,4.5,1,,62400.20618556701,62402.0,61921.0,62572.0,6052820.0,98.47460947543897,4.73243994839202E-4,0.5994754278122476
ID69424,69424,2,59.59379959106445,87.46230319898999,626.3519317010486,0.0,6.0,6,4.5,1,,62445.206185567,62434.0,62196.0,62734.0,6057185.0,110.06834412312594,7.600849437030033E-4,0.8617847827567435
ID71351,71351,2,62.606101989746094,92.02465707435745,558.0036750684161,0.0,59.0,59,4.5,1,,62447.93814432992,62436.0,62195.0,62784.0,6057450.0,121.86782580875867,8.344338106988322E-4,0.8544540064711795
ID71863,71863,2,47.6158332824707,112.4024678136921,562.4258809614598,0.0,74.0,74,4.5,1,,62406.27835051548,62408.0,62003.0,62619.0,6053409.0,96.46693542651906,5.052777471021568E-4,0.6534172349218959
ID69561,69561,2,57.424034118652344,87.90933734289547,625.569965407515,0.0,7.0,7,4.5,1,,62446.030927835054,62449.0,62204.0,62768.0,6057265.0,103.66748260747832,6.836505678019998E-4,0.8230565160812052
ID71096,71096,2,59.73842239379883,101.01292506963888,556.8389086632899,0.0,52.0,52,4.5,1,,62422.80412371135,62410.0,62183.0,62712.0,6055012.0,118.82073675422932,6.233600095971144E-4,0.6545597989211088
ID70973,70973,2,61.855712890625,105.70832508635512,558.106629001083,0.0,50.0,50,4.5,1,,62430.76288659794,62425.0,62047.0,62715.0,6055784.0,127.31258883124677,7.034532478298817E-4,0.6894251604521376
ID69820,69820,2,48.1458854675293,88.62753710086879,617.511867001958,0.0,12.0,12,4.5,1,,62424.05154639174,62426.0,62145.0,62633.0,6055133.0,94.44965271839493,4.368645428217088E-4,0.5772164425858819
ID71619,71619,2,45.56605911254883,106.01652438620019,557.0909225969301,0.0,66.0,66,4.5,1,,62403.628865979386,62412.0,62172.0,62599.0,6053152.0,87.16355789400903,4.5748367394245E-4,0.6547595698318076
ID69954,69954,2,50.90900421142578,88.5308132504699,604.470198561999,0.0,18.0,18,4.5,1,,62405.391752577336,62416.0,62158.0,62585.0,6053323.0,89.65542332325177,5.456417033637888E-4,0.7591825120830317
ID72005,72005,2,51.49159622192383,114.22020347141687,562.6705504273839,0.0,78.0,78,4.5,1,,62414.90721649484,62424.0,62154.0,62617.0,6054246.0,97.29337962170425,0.003973021816795547,5.07731306266467
